District,State,Prant
Udaipur , Rajasthan , RJ-Chittor Prant
Udalguri , Assam , Assam Prant
Udham Singh Nagar , Uttarakhand , Uttarakhand Prant
Udhampur , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Udupi , Karnataka , Karnataka Prant
Ujjain , Madhya Pradesh , MP-Malwa Prant
Ukhrul , Manipur , Manipur Prant
Umaria , Madhya Pradesh , MP-Mahakaushal Prant
Una , Himachal Pradesh , Himachal Prant
Unakoti , Tripura , Tripura Prant
Unnao , Uttar Pradesh , UP-Awadh Prant
Upper Siang , Arunachal Pradesh , Arunachal Pradesh Prant
Upper Subansiri , Arunachal Pradesh , Arunachal Pradesh Prant
Uttar Dinajpur , West Bengal , West Bengal Prant
Uttara Kannada , Karnataka , Karnataka Prant
Uttarkashi , Uttarakhand , Uttarakhand Prant
Vadodara , Gujarat , Gujarat Prant
Vaishali , Bihar , BR-Uttar Prant
Valsad , Gujarat , Gujarat Prant
Varanasi , Uttar Pradesh , UP-Kashi Prant
Vellore , Tamil Nadu , TN-Uttar Prant
Vidisha , Madhya Pradesh , MP-Madhya Bharat Prant
Vijayanagara , Karnataka , Karnataka Prant
Vijayapura  , Karnataka , Karnataka Prant
Vikarabad , Telangana , Telangana Prant
Viluppuram , Tamil Nadu , TN-Uttar Prant
Virudhunagar , Tamil Nadu , TN-Dakshin Prant
Visakhapatnam , Andhra Pradesh , Andhra Pradesh Prant
Vizianagaram , Andhra Pradesh , Andhra Pradesh Prant
Wanaparthy , Telangana , Telangana Prant
Warangal , Telangana , Telangana Prant
Wardha , Maharashtra , MH-Vidharbh Prant
Washim , Maharashtra , MH-Vidharbh Prant
Wayanad , Kerala , Kerala Prant
West Champaran , Bihar , BR-Uttar Prant
West Delhi , Delhi (UT) , Delhi Prant
West Garo Hills , Meghalaya , Meghalaya Prant
West Godavari , Andhra Pradesh , Andhra Pradesh Prant
West Jaintia Hills , Meghalaya , Meghalaya Prant
West Kameng , Arunachal Pradesh , Arunachal Pradesh Prant
West Karbi Anglong , Assam , Assam Prant
West Khasi Hills , Meghalaya , Meghalaya Prant
West Siang , Arunachal Pradesh , Arunachal Pradesh Prant
West Sikkim , Sikkim , Sikkim Prant
West Singhbhum , Jharkhand , Jharkhand Prant
West Tripura , Tripura , Tripura Prant
Wokha , Nagaland , Nagaland Prant
Yadadri Bhuvanagiri , Telangana , Telangana Prant
Yadgiri , Karnataka , Karnataka Prant
Yamunanagar , Haryana , Haryana Prant
Yanam , Puducherry (UT) , Puducherry Prant
Yavatmal , Maharashtra , MH-Vidharbh Prant
Zunheboto , Nagaland , Nagaland Prant
